"customer_id","customer_name","order_id","product_id","product_name","category","sub_category","order_date","ship_date","ship_mode","segment","region","state","city","sales","order_month","order_year","quantity_orders","customer_id:1","customer_name:1","orders_quantity","orders_sum","avg_order","last_order","last_order_day","rfm_recency","rfm_frequency","rfm_monetary","rfm_cell","rfm_cell_string","rfm_segment"
CG-12520,Claire Gute,CA-2017-152156,FUR-BO-10001798,Bush Somerset Collection Bookcase,Furniture,Bookcases,"2017-11-08 00:00:00","2017-11-11 00:00:00",Second Class,Consumer,South,Kentucky,Henderson,261.96,11,2017,1,CG-12520,Claire Gute,1,993.9,496.95,"2017-11-08 00:00:00",53,2,2,3,7,"223",Лояльные клиенты
CG-12520,Claire Gute,CA-2017-152156,FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Furniture,Chairs,"2017-11-08 00:00:00","2017-11-11 00:00:00",Second Class,Consumer,South,Kentucky,Henderson,731.94,11,2017,1,CG-12520,Claire Gute,1,993.9,496.95,"2017-11-08 00:00:00",53,2,2,3,7,"223",Лояльные клиенты
DV-13045,Darrin Van Huff,CA-2017-138688,OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters by Universal,Office Supplies,Labels,"2017-06-12 00:00:00","2017-06-16 00:00:00",Second Class,Corporate,West,California,Los Angeles,14.62,6,2017,2,DV-13045,Darrin Van Huff,2,37.6,12.53,"2017-09-23 00:00:00",99,3,2,1,6,"321",Спящие клиенты
IM-15070,Irene Maddox,CA-2017-161389,OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,Office Supplies,Binders,"2017-12-05 00:00:00","2017-12-10 00:00:00",Standard Class,Consumer,West,Washington,Seattle,407.98,12,2017,3,IM-15070,Irene Maddox,3,1108.98,158.43,"2017-12-05 00:00:00",26,1,4,3,8,"143",Новые клиенты
KB-16585,Ken Black,CA-2017-137330,OFF-AR-10000246,Newell 318,Office Supplies,Art,"2017-12-09 00:00:00","2017-12-13 00:00:00",Standard Class,Corporate,Central,Nebraska,Fremont,19.46,12,2017,3,KB-16585,Ken Black,3,360.03,60.01,"2017-12-09 00:00:00",22,1,3,2,6,"132",Новые клиенты
KB-16585,Ken Black,CA-2017-137330,OFF-AP-10001492,"Acco Six-Outlet Power Strip, 4' Cord Length",Office Supplies,Appliances,"2017-12-09 00:00:00","2017-12-13 00:00:00",Standard Class,Corporate,Central,Nebraska,Fremont,60.34,12,2017,3,KB-16585,Ken Black,3,360.03,60.01,"2017-12-09 00:00:00",22,1,3,2,6,"132",Новые клиенты
EH-13945,Eric Hoffmann,CA-2017-121755,OFF-BI-10001634,Wilson Jones Active Use Binders,Office Supplies,Binders,"2017-01-16 00:00:00","2017-01-20 00:00:00",Second Class,Consumer,West,California,Los Angeles,11.65,1,2017,3,EH-13945,Eric Hoffmann,3,477.65,43.42,"2017-11-26 00:00:00",35,2,4,2,8,"242",Лояльные клиенты
EH-13945,Eric Hoffmann,CA-2017-121755,TEC-AC-10003027,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,Technology,Accessories,"2017-01-16 00:00:00","2017-01-20 00:00:00",Second Class,Consumer,West,California,Los Angeles,90.57,1,2017,3,EH-13945,Eric Hoffmann,3,477.65,43.42,"2017-11-26 00:00:00",35,2,4,2,8,"242",Лояльные клиенты
GH-14485,Gene Hale,CA-2017-117590,TEC-PH-10004977,GE 30524EE4,Technology,Phones,"2017-12-08 00:00:00","2017-12-10 00:00:00",First Class,Corporate,Central,Texas,Richardson,1097.54,12,2017,1,GH-14485,Gene Hale,1,1288.46,644.23,"2017-12-08 00:00:00",23,1,2,4,7,"124",Новые клиенты
GH-14485,Gene Hale,CA-2017-117590,FUR-FU-10003664,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",Furniture,Furnishings,"2017-12-08 00:00:00","2017-12-10 00:00:00",First Class,Corporate,Central,Texas,Richardson,190.92,12,2017,1,GH-14485,Gene Hale,1,1288.46,644.23,"2017-12-08 00:00:00",23,1,2,4,7,"124",Новые клиенты
